Fault Type,T² Detection Rate (%),SPE Detection Rate (%),IF Detection Rate (%),OCSVM Detection Rate (%)
TCP +50,1.8,8.9,7.1,25.0
RF -12,5.4,0.0,0.0,10.7
RF +10,7.1,3.6,1.8,7.1
Pr +3,64.3,100.0,57.1,100.0
TCP +10,1.8,0.0,1.8,0.0
BCl3 +5,5.4,1.8,0.0,5.4
Pr -2,51.8,100.0,42.9,100.0
Cl2 -5,1.8,1.8,1.8,8.9
He Chuck,3.6,5.4,3.6,12.5
TCP +30,5.4,3.6,3.6,10.7
Cl2 +5,5.4,0.0,8.9,8.9
RF +8,37.5,23.2,39.3,73.2
BCl3 -5,100.0,100.0,8.9,100.0
Pr +2,8.9,100.0,44.6,100.0
TCP -20,12.5,7.1,8.9,16.1
TCP -15,5.4,5.4,5.4,5.4
Cl2 -10,1.8,0.0,0.0,7.1
RF -12,1.8,0.0,1.8,3.6
BCl3 +10,16.1,44.6,21.4,71.4
Pr +1,5.4,14.3,10.7,32.1
TCP +20,3.6,0.0,7.1,21.4
